slide_type,block_rt,workerid,response_rt,primeOShuffle,pTSentence,primeType,responseSymbols,btwncondition,trial_type,correctPOChoice,pTChoice,pOChoice,goodPTChoice,response,Answer.time_in_minutes,responseChoice,primeStrength,primeTShuffle,slide_number,pOSentence,pTwrongAnswer,pOwrongAnswer,audio,correctPChoices,responseSentence,pTSymbols,correctPTChoice,image,goodPOChoice,Answer.condition,pOSymbols
bot_check,,0,,,,,,,,,,,,"[0, 'Sarah']",17.529116666666667,,,,1,,,,,,,,,Sarah,,undefined,
,12639,0,5345,"[1, 0]",6 + 1 = ?,2,"[2, 0, 7]",alternative,filler,False,0,1,0,,17.529116666666667,1,3,"[1, 0]",,5 + 8 = ?,"[6, 0, 0]","[6, 0, 0]",,False,There is a tick.,"[7, 6, 1]",True,,0,undefined,"[13, 5, 8]"
,22971,0,5849,"[1, 0]",Some of the symbols are ticks.,0,"[6, 9, 4]",alternative,response,True,0,0,0,,17.529116666666667,1,1,"[1, 0]",,Some of the symbols are diamonds.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are stars.,"[2, 4, 1]",True,,0,undefined,"[0, 8, 3]"
,10564,0,4519,"[0, 1]",1 + 4 = ?,0,"[4, 2, 1]",alternative,filler,True,0,1,1,,17.529116666666667,1,3,"[0, 1]",,2 + 2 = ?,"[9, 0, 0]","[7, 0, 0]",,False,Some of the symbols are hearts.,"[5, 1, 4]",False,,1,undefined,"[4, 2, 2]"
,14972,0,6691,"[1, 0]",There is a note.,2,"[9, 3, 2]",alternative,response,True,1,0,1,,17.529116666666667,1,1,"[0, 1]",,There is a square.,"[0, 0, 0]","[0, 0, 0]",,True,There is a triangle.,"[8, 2, 4]",True,,0,undefined,"[5, 3, 8]"
,10542,0,3003,"[1, 0]",Some of the symbols are hearts.,0,"[5, 2, 0]",alternative,filler,True,0,0,0,,17.529116666666667,1,1,"[1, 0]",,Some of the symbols are circles.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are squares.,"[4, 3, 5]",True,,0,undefined,"[7, 0, 3]"
,20108,0,7283,"[1, 0]",Some of the symbols are hearts.,0,"[0, 4, 5]",alternative,response,True,0,0,0,,17.529116666666667,1,0,"[1, 0]",,Some of the symbols are diamonds.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are diamonds.,"[4, 3, 0]",True,,0,undefined,"[0, 1, 9]"
,10690,0,3605,"[0, 1]",9 + 4 = ?,1,"[3, 8, 2]",alternative,filler,True,0,1,1,,17.529116666666667,1,3,"[0, 1]",,1 + 6 = ?,"[0, 0, 0]","[9, 0, 0]",,False,There are four spades.,"[13, 9, 4]",False,,1,undefined,"[7, 1, 6]"
,9628,0,3068,"[0, 1]",There is a circle.,2,"[1, 2, 4]",alternative,filler,True,0,1,0,,17.529116666666667,1,1,"[1, 0]",,There is a star.,"[0, 0, 0]","[0, 0, 0]",,True,There is a club.,"[7, 6, 2]",True,,1,undefined,"[6, 8, 9]"
,12064,0,3321,"[0, 1]",There is a square.,2,"[5, 1, 0]",alternative,filler,True,0,1,0,,17.529116666666667,1,0,"[1, 0]",,There is a tick.,"[0, 0, 0]","[0, 0, 0]",,True,There is a square.,"[5, 0, 4]",True,,1,undefined,"[2, 1, 3]"
