btwncondition,correctPChoices,responseSentence,correctPTChoice,pOSentence,primeType,response,block_rt,slide_number,image,primeTShuffle,pTwrongAnswer,response_rt,pOChoice,responseSymbols,pOwrongAnswer,pTSymbols,audio,Answer.time_in_minutes,pOSymbols,primeStrength,primeOShuffle,pTChoice,goodPTChoice,Answer.condition,goodPOChoice,slide_type,pTSentence,responseChoice,trial_type,workerid,correctPOChoice
,,,,,,"[0, 'Linda']",,1,Linda,,,,,,,,,11.069633333333334,,,,,,undefined,,bot_check,,,,0,
exh-only,True,There is a diamond.,True,There is a star.,2,,7950,,,"[1, 0]","[0, 0, 0]",2425,0,"[0, 4, 3]","[0, 0, 0]","[7, 9, 3]",,11.069633333333334,"[6, 1, 5]",1,"[1, 0]",0,0,undefined,0,,There is a circle.,1,filler,0,True
exh-only,True,There is a star.,True,There is a spade.,2,,8207,,,"[1, 0]","[0, 0, 0]",4622,0,"[6, 2, 7]","[0, 0, 0]","[2, 5, 7]",,11.069633333333334,"[3, 5, 2]",1,"[1, 0]",0,0,undefined,0,,There is a tick.,0,response,0,True
exh-only,True,There is a spade.,True,There is a club.,2,,10087,,,"[0, 1]","[0, 0, 0]",2255,0,"[3, 6, 2]","[0, 0, 0]","[5, 3, 8]",,11.069633333333334,"[1, 3, 0]",1,"[1, 0]",1,1,undefined,0,,There is a square.,0,response,0,True
exh-only,False,There are four spades.,True,1 + 1 = ?,1,,6275,,,"[0, 1]","[2, 0, 0]",1903,0,"[3, 6, 5]","[3, 0, 0]","[8, 7, 1]",,11.069633333333334,"[2, 1, 1]",3,"[0, 1]",1,1,undefined,1,,7 + 1 = ?,1,filler,0,False
exh-only,True,There are four hearts.,True,There are four circles.,1,,7193,,,"[0, 1]","[0, 0, 0]",1774,0,"[4, 3, 8]","[0, 0, 0]","[7, 4, 2]",,11.069633333333334,"[7, 1, 9]",0,"[1, 0]",1,1,undefined,0,,There are four circles.,1,filler,0,True
exh-only,True,Some of the symbols are circles.,True,4 + 4 = ?,0,,8750,,,"[1, 0]","[4, 0, 0]",3246,1,"[7, 9, 6]","[6, 0, 0]","[12, 7, 5]",,11.069633333333334,"[8, 4, 4]",3,"[0, 1]",0,0,undefined,1,,7 + 5 = ?,1,filler,0,True
exh-only,True,There is a tick.,True,There is only a square.,2,,6166,,,"[0, 1]","[0, 0, 0]",1894,1,"[2, 6, 8]","[0, 0, 0]","[1, 2, 3]",,11.069633333333334,"[5, 3, 1]",2,"[0, 1]",1,1,undefined,1,,There is only a club.,1,filler,0,True
exh-only,True,There are four hearts.,True,There are four squares.,1,,5928,,,"[0, 1]","[0, 0, 0]",1783,1,"[4, 6, 7]","[0, 0, 0]","[5, 4, 8]",,11.069633333333334,"[5, 2, 7]",0,"[0, 1]",1,1,undefined,1,,There are four squares.,0,response,0,True
exh-only,True,Some of the symbols are stars.,True,Only some of the symbols are squares.,0,,7783,,,"[1, 0]","[0, 0, 0]",2230,1,"[6, 7, 3]","[0, 0, 0]","[4, 9, 1]",,11.069633333333334,"[5, 8, 7]",2,"[0, 1]",0,0,undefined,1,,Only some of the symbols are hearts.,1,filler,0,True
exh-only,True,Some of the symbols are triangles.,True,Some of the symbols are diamonds.,0,,8174,,,"[0, 1]","[0, 0, 0]",3277,1,"[9, 1, 0]","[0, 0, 0]","[6, 0, 2]",,11.069633333333334,"[0, 6, 1]",0,"[0, 1]",1,1,undefined,1,,Some of the symbols are stars.,1,response,0,True
exh-only,True,There is a circle.,True,There is a club.,2,,5032,,,"[1, 0]","[0, 0, 0]",1621,0,"[7, 5, 1]","[0, 0, 0]","[5, 4, 3]",,11.069633333333334,"[1, 7, 4]",0,"[1, 0]",0,0,undefined,0,,There is a square.,1,filler,0,True
exh-only,False,There is a triangle.,True,2 + 1 = ?,2,,5136,,,"[0, 1]","[2, 0, 0]",1863,0,"[9, 2, 1]","[0, 0, 0]","[7, 0, 7]",,11.069633333333334,"[3, 2, 1]",3,"[0, 1]",1,1,undefined,1,,0 + 7 = ?,1,filler,0,False
