primeOShuffle,responseSentence,pTSentence,primeType,correctPChoices,audio,btwncondition,slide_type,primeTShuffle,pTChoice,pOwrongAnswer,response,pTSymbols,responseSymbols,goodPOChoice,primeStrength,Answer.time_in_minutes,slide_number,correctPTChoice,pTwrongAnswer,responseChoice,correctPOChoice,pOChoice,workerid,trial_type,Answer.condition,block_rt,image,pOSymbols,response_rt,goodPTChoice,pOSentence
,,,,,,,bot_check,,,,"[0, 'Elizabeth']",,,,,10.105433333333334,1,,,,,,0,,undefined,,Elizabeth,,,,
"[1, 0]",There are four spades.,There are four ticks.,1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[2, 5, 4]","[3, 7, 1]",0,0,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,9583,,"[7, 6, 8]",2343,1,There are four circles.
"[1, 0]",Some of the symbols are clubs.,Some of the symbols are triangles.,0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[9, 8, 1]","[1, 3, 2]",0,1,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,8839,,"[7, 6, 2]",3290,0,Some of the symbols are circles.
"[0, 1]",Some of the symbols are diamonds.,"Some of the symbols are diamonds, but not all of them are diamonds.",0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[0, 4, 1]","[0, 4, 5]",1,2,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,11162,,"[3, 5, 0]",4602,1,"Some of the symbols are spades, but not all of them are spades."
"[0, 1]",There is a circle.,3 + 7 = ?,2,False,,exh-clausal,,"[0, 1]",0,"[2, 0, 0]",,"[10, 3, 7]","[7, 2, 3]",1,3,10.105433333333334,,False,"[5, 0, 0]",0,True,1,0,response,undefined,6309,,"[8, 0, 8]",1687,1,0 + 8 = ?
"[1, 0]",Some of the symbols are hearts.,1 + 9 = ?,0,False,,exh-clausal,,"[1, 0]",1,"[5, 0, 0]",,"[10, 1, 9]","[4, 7, 3]",0,3,10.105433333333334,,False,"[3, 0, 0]",0,True,0,0,response,undefined,6033,,"[4, 0, 4]",1953,0,0 + 4 = ?
"[0, 1]",Some of the symbols are ticks.,3 + 3 = ?,0,True,,exh-clausal,,"[1, 0]",0,"[7, 0, 0]",,"[6, 3, 3]","[2, 8, 4]",1,3,10.105433333333334,,True,"[5, 0, 0]",0,True,1,0,response,undefined,4550,,"[11, 4, 7]",1926,0,4 + 7 = ?
"[1, 0]",There is a club.,There is a heart.,2,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[4, 3, 1]","[1, 5, 8]",0,0,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,5688,,"[2, 9, 0]",1817,0,There is a tick.
"[0, 1]",Some of the symbols are spades.,Some of the symbols are triangles.,0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[9, 8, 2]","[3, 5, 8]",1,0,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,7126,,"[7, 6, 8]",2190,1,Some of the symbols are circles.
"[1, 0]",There are four hearts.,9 + 7 = ?,1,True,,exh-clausal,,"[0, 1]",1,"[7, 0, 0]",,"[16, 9, 7]","[4, 3, 6]",0,3,10.105433333333334,,True,"[1, 0, 0]",0,True,0,0,response,undefined,4692,,"[6, 4, 2]",1762,1,4 + 2 = ?
