correctPOChoice,pTChoice,primeStrength,pOSentence,responseSentence,response_rt,correctPChoices,primeType,Answer.time_in_minutes,pTSymbols,responseSymbols,trial_type,goodPTChoice,correctPTChoice,primeTShuffle,pTwrongAnswer,slide_number,pOSymbols,block_rt,goodPOChoice,audio,Answer.condition,slide_type,btwncondition,pOwrongAnswer,responseChoice,response,pTSentence,image,primeOShuffle,workerid,pOChoice
,,,,,,,,10.9432,,,,,,,,1,,,,,undefined,bot_check,,,,"[0, 'Mary']",,Mary,,0,
True,0,0,There are four diamonds.,There are four triangles.,3140,True,1,10.9432,"[6, 7, 3]","[9, 7, 8]",response,0,True,"[1, 0]","[0, 0, 0]",,"[0, 6, 3]",7557,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four stars.,,"[0, 1]",0,1
True,0,0,There are four stars.,There are four stars.,1858,True,1,10.9432,"[3, 7, 5]","[6, 9, 1]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[6, 4, 7]",6238,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four spades.,,"[0, 1]",0,1
True,1,0,There are four notes.,There are four clubs.,2422,True,1,10.9432,"[8, 7, 1]","[1, 9, 3]",response,1,True,"[0, 1]","[0, 0, 0]",,"[8, 2, 6]",6172,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four notes.,,"[1, 0]",0,0
True,0,3,6 + 5 = ?,Some of the symbols are diamonds.,3808,True,0,10.9432,"[14, 7, 7]","[0, 5, 6]",response,0,True,"[1, 0]","[0, 0, 0]",,"[11, 6, 5]",7665,1,,undefined,,exh-clausal,"[1, 0, 0]",1,,7 + 7 = ?,,"[0, 1]",0,1
True,0,3,0 + 6 = ?,Some of the symbols are clubs.,2258,True,0,10.9432,"[11, 9, 2]","[1, 6, 8]",filler,0,True,"[1, 0]","[5, 0, 0]",,"[6, 0, 6]",5456,1,,undefined,,exh-clausal,"[1, 0, 0]",1,,9 + 2 = ?,,"[0, 1]",0,1
True,0,0,There is a circle.,There is a heart.,1774,True,2,10.9432,"[2, 0, 4]","[4, 1, 8]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[7, 0, 9]",5079,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,There is a tick.,,"[1, 0]",0,0
True,0,1,There is a heart.,There is a square.,1302,True,2,10.9432,"[4, 2, 9]","[5, 3, 0]",response,0,True,"[1, 0]","[0, 0, 0]",,"[4, 2, 0]",5361,1,,undefined,,exh-clausal,"[0, 0, 0]",0,,There is a heart.,,"[0, 1]",0,1
True,0,3,9 + 3 = ?,There is a spade.,2117,False,2,10.9432,"[10, 2, 8]","[3, 0, 8]",response,1,False,"[0, 1]","[1, 0, 0]",,"[12, 9, 3]",6296,1,,undefined,,exh-clausal,"[1, 0, 0]",0,,2 + 8 = ?,,"[0, 1]",0,1
True,0,2,"There is a heart, but there is nothing besides a heart.",There is a spade.,3293,True,2,10.9432,"[2, 8, 1]","[3, 9, 8]",response,0,True,"[1, 0]","[0, 0, 0]",,"[4, 3, 0]",18433,0,,undefined,,exh-clausal,"[0, 0, 0]",0,,"There is a tick, but there is nothing besides a tick.",,"[1, 0]",0,0
True,1,2,"There are four triangles, but there are no more than four triangles.",There are four spades.,1877,True,1,10.9432,"[7, 6, 1]","[3, 4, 9]",response,1,True,"[0, 1]","[0, 0, 0]",,"[9, 1, 6]",6172,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There are four circles, but there are no more than four circles.",,"[1, 0]",0,0
True,0,1,There is a square.,There is a triangle.,2734,True,2,10.9432,"[1, 3, 0]","[9, 0, 3]",response,0,True,"[1, 0]","[0, 0, 0]",,"[5, 2, 3]",5766,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There is a club.,,"[0, 1]",0,1
False,1,3,1 + 3 = ?,Some of the symbols are ticks.,1810,False,0,10.9432,"[8, 5, 3]","[2, 1, 4]",filler,1,True,"[0, 1]","[1, 0, 0]",,"[4, 1, 3]",5320,1,,undefined,,exh-clausal,"[2, 0, 0]",1,,5 + 3 = ?,,"[0, 1]",0,0
True,0,2,"There are four squares, but there are no more than four squares.",There are four ticks.,1946,True,1,10.9432,"[4, 6, 7]","[2, 9, 1]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[5, 0, 3]",6470,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There are four hearts, but there are no more than four hearts.",,"[1, 0]",0,0
True,1,3,7 + 2 = ?,There are four triangles.,1875,False,1,10.9432,"[10, 3, 7]","[9, 2, 0]",response,0,False,"[1, 0]","[2, 0, 0]",,"[9, 7, 2]",7453,0,,undefined,,exh-clausal,"[4, 0, 0]",1,,3 + 7 = ?,,"[1, 0]",0,0
True,1,1,Some of the symbols are hearts.,Some of the symbols are clubs.,3319,True,0,10.9432,"[7, 6, 8]","[1, 0, 3]",response,1,True,"[0, 1]","[0, 0, 0]",,"[4, 7, 0]",8112,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are circles.,,"[0, 1]",0,1
True,1,0,Some of the symbols are triangles.,Some of the symbols are hearts.,2265,True,0,10.9432,"[4, 3, 5]","[4, 2, 7]",response,1,True,"[0, 1]","[0, 0, 0]",,"[9, 1, 2]",7660,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are hearts.,,"[0, 1]",0,1
True,0,1,Some of the symbols are stars.,Some of the symbols are ticks.,2039,True,0,10.9432,"[5, 3, 9]","[2, 4, 1]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[6, 1, 4]",5790,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are squares.,,"[1, 0]",0,0
True,1,0,Some of the symbols are squares.,Some of the symbols are ticks.,1920,True,0,10.9432,"[4, 2, 5]","[2, 4, 5]",response,1,True,"[0, 1]","[0, 0, 0]",,"[5, 3, 8]",8390,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are hearts.,,"[1, 0]",0,0
True,1,3,6 + 0 = ?,There is a triangle.,2222,True,2,10.9432,"[5, 5, 0]","[9, 2, 1]",filler,1,True,"[0, 1]","[8, 0, 0]",,"[6, 6, 0]",10670,0,,undefined,,exh-clausal,"[5, 0, 0]",1,,5 + 0 = ?,,"[1, 0]",0,0
True,1,1,There are four diamonds.,There are four diamonds.,1971,True,1,10.9432,"[9, 6, 7]","[0, 1, 7]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[0, 1, 3]",5400,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four triangles.,,"[1, 0]",0,0
True,1,2,"There are four ticks, but there are no more than four ticks.",There are four circles.,2028,True,1,10.9432,"[2, 9, 7]","[7, 1, 3]",response,1,True,"[0, 1]","[0, 0, 0]",,"[2, 5, 4]",5569,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There are four ticks, but there are no more than four ticks.",,"[1, 0]",0,0
True,0,2,"Some of the symbols are triangles, but not all of them are triangles.",Some of the symbols are stars.,1937,True,0,10.9432,"[6, 4, 3]","[6, 1, 4]",response,0,True,"[1, 0]","[0, 0, 0]",,"[9, 6, 4]",7324,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,"Some of the symbols are stars, but not all of them are stars.",,"[0, 1]",0,1
True,0,1,There are four clubs.,There are four notes.,1790,True,1,10.9432,"[3, 6, 2]","[8, 2, 0]",response,0,True,"[1, 0]","[0, 0, 0]",,"[1, 8, 9]",5478,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four spades.,,"[0, 1]",0,1
True,0,2,"There are four notes, but there are no more than four notes.",There are four clubs.,1657,True,1,10.9432,"[5, 6, 3]","[1, 3, 5]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[8, 5, 7]",5197,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There are four squares, but there are no more than four squares.",,"[0, 1]",0,1
True,0,0,Some of the symbols are stars.,Some of the symbols are circles.,2165,True,0,10.9432,"[5, 2, 8]","[7, 5, 8]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[6, 8, 7]",12819,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are squares.,,"[0, 1]",0,1
True,0,1,Some of the symbols are triangles.,Some of the symbols are circles.,2077,True,0,10.9432,"[6, 0, 9]","[7, 5, 3]",response,0,True,"[1, 0]","[0, 0, 0]",,"[9, 1, 7]",6271,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are stars.,,"[1, 0]",0,0
False,1,3,9 + 1 = ?,There is a heart.,1983,False,2,10.9432,"[4, 1, 3]","[4, 8, 9]",filler,1,True,"[0, 1]","[5, 0, 0]",,"[10, 9, 1]",5009,1,,undefined,,exh-clausal,"[1, 0, 0]",1,,1 + 3 = ?,,"[0, 1]",0,0
True,0,1,There is a heart.,There is a triangle.,6964,True,2,10.9432,"[7, 2, 3]","[9, 4, 6]",response,0,True,"[1, 0]","[0, 0, 0]",,"[4, 5, 0]",10240,0,,undefined,,exh-clausal,"[0, 0, 0]",0,,There is a circle.,,"[1, 0]",0,0
True,1,2,"There are four diamonds, but there are no more than four diamonds.",There are four stars.,1945,True,1,10.9432,"[8, 0, 9]","[6, 2, 9]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[0, 6, 8]",5156,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There are four notes, but there are no more than four notes.",,"[1, 0]",0,0
True,1,3,1 + 3 = ?,There are four ticks.,1707,True,1,10.9432,"[14, 6, 8]","[2, 9, 7]",filler,1,True,"[0, 1]","[5, 0, 0]",,"[4, 1, 3]",6177,0,,undefined,,exh-clausal,"[2, 0, 0]",1,,6 + 8 = ?,,"[1, 0]",0,0
True,0,1,There are four triangles.,There are four diamonds.,1487,True,1,10.9432,"[4, 2, 7]","[0, 9, 7]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[9, 2, 5]",4848,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four hearts.,,"[0, 1]",0,1
True,1,2,"There is a circle, but there is nothing besides a circle.",There is a triangle.,1589,True,2,10.9432,"[6, 7, 8]","[9, 1, 6]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[7, 5, 1]",5039,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There is a star, but there is nothing besides a star.",,"[1, 0]",0,0
False,1,3,7 + 7 = ?,There is a club.,2912,False,2,10.9432,"[7, 7, 0]","[1, 0, 6]",response,1,True,"[0, 1]","[8, 0, 0]",,"[14, 7, 7]",5969,1,,undefined,,exh-clausal,"[3, 0, 0]",0,,7 + 0 = ?,,"[0, 1]",0,0
True,1,0,Some of the symbols are hearts.,Some of the symbols are stars.,2490,True,0,10.9432,"[6, 1, 4]","[6, 5, 4]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[4, 0, 7]",6713,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are stars.,,"[1, 0]",0,0
True,1,1,There is a heart.,There is a circle.,1809,True,2,10.9432,"[8, 6, 9]","[7, 1, 5]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[4, 8, 2]",4913,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There is a note.,,"[0, 1]",0,1
True,0,3,0 + 9 = ?,There are four circles.,1564,False,1,10.9432,"[10, 9, 1]","[7, 6, 1]",response,1,False,"[0, 1]","[3, 0, 0]",,"[9, 0, 9]",4567,1,,undefined,,exh-clausal,"[8, 0, 0]",1,,9 + 1 = ?,,"[0, 1]",0,1
True,1,0,There is a star.,There is a triangle.,1667,True,2,10.9432,"[3, 8, 5]","[9, 5, 7]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[6, 5, 3]",5282,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There is a spade.,,"[0, 1]",0,1
True,1,1,Some of the symbols are clubs.,Some of the symbols are circles.,1737,True,0,10.9432,"[9, 0, 1]","[7, 8, 4]",response,1,True,"[0, 1]","[0, 0, 0]",,"[1, 7, 5]",7432,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are triangles.,,"[1, 0]",0,0
True,0,2,"Some of the symbols are circles, but not all of them are circles.",Some of the symbols are diamonds.,1758,True,0,10.9432,"[8, 1, 2]","[0, 7, 2]",response,0,True,"[1, 0]","[0, 0, 0]",,"[7, 6, 3]",5586,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"Some of the symbols are notes, but not all of them are notes.",,"[1, 0]",0,0
True,1,1,There are four clubs.,There are four triangles.,1477,True,1,10.9432,"[2, 7, 9]","[9, 8, 1]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[1, 3, 7]",4431,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four ticks.,,"[1, 0]",0,0
True,0,1,There is a diamond.,There is a heart.,2252,True,2,10.9432,"[2, 7, 8]","[4, 9, 5]",response,0,True,"[1, 0]","[0, 0, 0]",,"[0, 9, 7]",5168,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There is a tick.,,"[0, 1]",0,1
True,0,3,4 + 8 = ?,Some of the symbols are squares.,2210,False,0,10.9432,"[7, 7, 0]","[5, 0, 1]",response,1,False,"[0, 1]","[3, 0, 0]",,"[12, 4, 8]",5718,1,,undefined,,exh-clausal,"[7, 0, 0]",1,,7 + 0 = ?,,"[0, 1]",0,1
True,0,0,Some of the symbols are circles.,Some of the symbols are spades.,1697,True,0,10.9432,"[1, 0, 7]","[3, 4, 0]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[7, 8, 2]",7986,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are clubs.,,"[0, 1]",0,1
