responseSymbols,slide_type,response,image,Answer.condition,block_rt,pOSymbols,correctPTChoice,primeStrength,goodPTChoice,responseChoice,primeTShuffle,pOwrongAnswer,pTSentence,trial_type,goodPOChoice,pTSymbols,workerid,pOSentence,primeOShuffle,responseSentence,pOChoice,pTChoice,btwncondition,primeType,Answer.time_in_minutes,correctPChoices,audio,slide_number,pTwrongAnswer,response_rt,correctPOChoice
,bot_check,"[0, 'Susan']",Susan,undefined,,,,,,,,,,,,,0,,,,,,,,6.842116666666667,,,1,,,
"[1, 6, 9]",,,,undefined,16588,"[6, 0, 2]",True,0,1,1,"[0, 1]","[0, 0, 0]",There are four circles.,response,0,"[7, 3, 0]",0,There are four stars.,"[1, 0]",There are four clubs.,0,1,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",1135,True
"[8, 7, 0]",,,,undefined,3849,"[7, 5, 2]",False,3,0,1,"[1, 0]","[8, 0, 0]",2 + 3 = ?,filler,0,"[5, 2, 3]",0,5 + 2 = ?,"[1, 0]",Some of the symbols are notes.,0,1,exh-subclausal,0,6.842116666666667,False,,,"[3, 0, 0]",1732,True
"[7, 9, 5]",,,,undefined,3259,"[0, 7, 4]",True,0,1,1,"[0, 1]","[0, 0, 0]",There are four triangles.,filler,0,"[9, 0, 1]",0,There are four diamonds.,"[1, 0]",There are four circles.,0,1,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",1098,True
"[1, 5, 8]",,,,undefined,3556,"[7, 9, 4]",True,0,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are circles.,filler,0,"[7, 8, 9]",0,Some of the symbols are circles.,"[1, 0]",Some of the symbols are clubs.,0,1,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1149,True
"[9, 4, 6]",,,,undefined,3413,"[1, 4, 8]",True,1,1,1,"[0, 1]","[0, 0, 0]",There are four ticks.,filler,0,"[2, 8, 4]",0,There are four clubs.,"[1, 0]",There are four triangles.,0,1,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",960,True
"[1, 9, 5]",,,,undefined,5872,"[4, 6, 9]",True,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are clubs.,filler,1,"[1, 5, 8]",0,Some of the symbols are hearts.,"[0, 1]",Some of the symbols are clubs.,1,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1150,True
"[9, 1, 6]",,,,undefined,2992,"[6, 4, 2]",True,3,1,0,"[0, 1]","[2, 0, 0]",5 + 5 = ?,response,1,"[10, 5, 5]",0,4 + 2 = ?,"[0, 1]",There is a triangle.,0,1,exh-subclausal,2,6.842116666666667,False,,,"[1, 0, 0]",1082,False
"[9, 8, 7]",,,,undefined,2674,"[7, 1, 6]",True,3,1,1,"[0, 1]","[0, 0, 0]",3 + 9 = ?,filler,0,"[12, 3, 9]",0,1 + 6 = ?,"[1, 0]",Some of the symbols are triangles.,0,1,exh-subclausal,0,6.842116666666667,True,,,"[4, 0, 0]",996,True
"[6, 5, 0]",,,,undefined,2724,"[12, 4, 8]",True,3,1,1,"[0, 1]","[1, 0, 0]",9 + 9 = ?,filler,1,"[18, 9, 9]",0,4 + 8 = ?,"[0, 1]",There is a star.,0,1,exh-subclausal,2,6.842116666666667,False,,,"[9, 0, 0]",1063,False
"[1, 8, 2]",,,,undefined,2873,"[7, 1, 6]",True,0,1,0,"[0, 1]","[0, 0, 0]",There are four triangles.,response,0,"[9, 1, 5]",0,There are four circles.,"[1, 0]",There are four clubs.,0,1,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",1011,True
"[9, 7, 4]",,,,undefined,3028,"[10, 3, 7]",False,3,1,1,"[0, 1]","[6, 0, 0]",3 + 0 = ?,filler,1,"[3, 3, 0]",0,3 + 7 = ?,"[0, 1]",There are four triangles.,1,0,exh-subclausal,1,6.842116666666667,False,,,"[0, 0, 0]",1319,True
"[9, 8, 2]",,,,undefined,4974,"[1, 4, 3]",True,0,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are triangles.,response,1,"[9, 3, 8]",0,Some of the symbols are clubs.,"[0, 1]",Some of the symbols are triangles.,1,1,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",2112,True
