goodPTChoice,response,goodPOChoice,pTChoice,response_rt,Answer.condition,primeStrength,trial_type,pOSymbols,slide_type,responseChoice,image,primeType,workerid,pTSymbols,audio,responseSymbols,responseSentence,pOChoice,slide_number,primeOShuffle,correctPChoices,correctPOChoice,btwncondition,Answer.time_in_minutes,correctPTChoice,pTSentence,pTwrongAnswer,pOwrongAnswer,block_rt,pOSentence,primeTShuffle
,"[0, 'Susan']",,,,undefined,,,,bot_check,,Susan,,0,,,,,,1,,,,,6.291416666666667,,,,,,,
0,,1,0,1392,undefined,0,response,"[0, 7, 8]",,0,,1,0,"[4, 0, 7]",,"[1, 8, 0]",There are four clubs.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four hearts.,"[0, 0, 0]","[0, 0, 0]",4427,There are four diamonds.,"[1, 0]"
0,,1,0,4109,undefined,2,filler,"[1, 5, 7]",,1,,1,0,"[0, 6, 3]",,"[6, 4, 8]",There are four stars.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are six diamonds.,"[0, 0, 0]","[0, 0, 0]",9497,There are six clubs.,"[1, 0]"
1,,1,1,1572,undefined,3,filler,"[8, 7, 1]",,1,,0,0,"[11, 5, 6]",,"[0, 1, 8]",Some of the symbols are diamonds.,0,,"[0, 1]",False,False,alternative,6.291416666666667,True,5 + 6 = ?,"[9, 0, 0]","[1, 0, 0]",11351,7 + 1 = ?,"[0, 1]"
0,,1,0,1142,undefined,2,filler,"[2, 3, 1]",,1,,0,0,"[5, 7, 4]",,"[7, 3, 0]",Some of the symbols are circles.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,All of the symbols are squares.,"[0, 0, 0]","[0, 0, 0]",3218,All of the symbols are ticks.,"[1, 0]"
0,,0,0,1312,undefined,1,response,"[6, 1, 0]",,1,,0,0,"[6, 1, 8]",,"[2, 8, 0]",Some of the symbols are ticks.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,Some of the symbols are stars.,"[0, 0, 0]","[0, 0, 0]",4567,Some of the symbols are stars.,"[1, 0]"
0,,1,0,1100,undefined,1,response,"[2, 8, 7]",,0,,2,0,"[7, 6, 9]",,"[6, 1, 7]",There is a star.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There is a circle.,"[0, 0, 0]","[0, 0, 0]",3070,There is a tick.,"[1, 0]"
0,,0,0,1205,undefined,2,filler,"[8, 5, 6]",,1,,2,0,"[4, 5, 6]",,"[5, 4, 2]",There is a square.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a heart and a square.,"[0, 0, 0]","[0, 0, 0]",4015,There is a note and a square.,"[1, 0]"
1,,1,1,1188,undefined,1,filler,"[1, 6, 2]",,1,,0,0,"[9, 5, 3]",,"[8, 9, 3]",Some of the symbols are notes.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,Some of the symbols are triangles.,"[0, 0, 0]","[0, 0, 0]",3978,Some of the symbols are clubs.,"[0, 1]"
1,,0,1,1149,undefined,3,filler,"[8, 4, 4]",,1,,2,0,"[15, 9, 6]",,"[8, 7, 0]",There is a note.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,9 + 6 = ?,"[9, 0, 0]","[9, 0, 0]",3227,4 + 4 = ?,"[0, 1]"
1,,1,1,999,undefined,2,response,"[7, 3, 2]",,0,,2,0,"[1, 5, 7]",,"[6, 5, 1]",There is a star.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There is a club and a square.,"[0, 0, 0]","[0, 0, 0]",3046,There is a circle and a spade.,"[0, 1]"
1,,0,1,1030,undefined,3,response,"[5, 4, 1]",,0,,2,0,"[14, 5, 9]",,"[0, 2, 6]",There is a diamond.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,5 + 9 = ?,"[3, 0, 0]","[2, 0, 0]",2883,4 + 1 = ?,"[0, 1]"
0,,1,0,966,undefined,0,filler,"[8, 0, 2]",,0,,2,0,"[7, 6, 1]",,"[8, 3, 2]",There is a note.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There is a circle.,"[0, 0, 0]","[0, 0, 0]",3478,There is a note.,"[1, 0]"
0,,0,0,1553,undefined,1,response,"[3, 9, 8]",,0,,1,0,"[7, 5, 3]",,"[4, 6, 5]",There are four hearts.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There are four circles.,"[0, 0, 0]","[0, 0, 0]",4731,There are four spades.,"[1, 0]"
1,,0,1,1444,undefined,1,filler,"[2, 9, 4]",,1,,2,0,"[9, 0, 6]",,"[0, 6, 9]",There is a diamond.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a triangle.,"[0, 0, 0]","[0, 0, 0]",3369,There is a tick.,"[0, 1]"
1,,0,0,1175,undefined,3,response,"[15, 9, 6]",,1,,1,0,"[14, 8, 6]",,"[0, 6, 4]",There are four diamonds.,1,,"[1, 0]",False,False,alternative,6.291416666666667,False,8 + 6 = ?,"[6, 0, 0]","[0, 0, 0]",3626,9 + 6 = ?,"[0, 1]"
0,,0,0,1231,undefined,2,response,"[6, 8, 0]",,0,,2,0,"[2, 9, 3]",,"[8, 0, 9]",There is a note.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a tick and a triangle.,"[0, 0, 0]","[0, 0, 0]",3435,There is a star and a note.,"[1, 0]"
1,,1,1,1685,undefined,2,response,"[1, 6, 3]",,0,,1,0,"[1, 7, 3]",,"[7, 5, 4]",There are four circles.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are six clubs.,"[0, 0, 0]","[0, 0, 0]",4131,There are six clubs.,"[0, 1]"
0,,0,0,1055,undefined,2,response,"[9, 4, 8]",,1,,0,0,"[5, 1, 8]",,"[8, 0, 6]",Some of the symbols are notes.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,All of the symbols are squares.,"[0, 0, 0]","[0, 0, 0]",3693,All of the symbols are triangles.,"[1, 0]"
0,,1,0,1113,undefined,3,response,"[11, 8, 3]",,1,,0,0,"[10, 6, 4]",,"[1, 9, 4]",Some of the symbols are clubs.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,6 + 4 = ?,"[8, 0, 0]","[0, 0, 0]",3914,8 + 3 = ?,"[1, 0]"
0,,1,1,990,undefined,3,response,"[4, 0, 4]",,0,,2,0,"[6, 4, 2]",,"[6, 9, 1]",There is a star.,0,,"[0, 1]",False,False,alternative,6.291416666666667,False,4 + 2 = ?,"[1, 0, 0]","[7, 0, 0]",2860,0 + 4 = ?,"[1, 0]"
1,,1,1,893,undefined,1,response,"[6, 1, 4]",,0,,1,0,"[9, 8, 0]",,"[6, 8, 5]",There are four stars.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four triangles.,"[0, 0, 0]","[0, 0, 0]",2611,There are four stars.,"[0, 1]"
0,,1,0,922,undefined,1,filler,"[3, 6, 0]",,1,,1,0,"[1, 2, 7]",,"[2, 7, 6]",There are four ticks.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four clubs.,"[0, 0, 0]","[0, 0, 0]",3207,There are four spades.,"[1, 0]"
1,,0,1,1039,undefined,0,filler,"[4, 8, 0]",,1,,0,0,"[2, 6, 3]",,"[5, 9, 6]",Some of the symbols are squares.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,Some of the symbols are ticks.,"[0, 0, 0]","[0, 0, 0]",3588,Some of the symbols are hearts.,"[0, 1]"
1,,0,1,930,undefined,0,response,"[9, 5, 1]",,0,,2,0,"[5, 8, 1]",,"[3, 5, 4]",There is a spade.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a square.,"[0, 0, 0]","[0, 0, 0]",3002,There is a triangle.,"[0, 1]"
0,,0,0,1229,undefined,2,filler,"[5, 3, 6]",,1,,0,0,"[1, 9, 8]",,"[6, 1, 7]",Some of the symbols are stars.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,All of the symbols are clubs.,"[0, 0, 0]","[0, 0, 0]",4514,All of the symbols are squares.,"[1, 0]"
1,,0,1,917,undefined,1,filler,"[8, 1, 7]",,1,,0,0,"[2, 0, 6]",,"[6, 9, 7]",Some of the symbols are stars.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,Some of the symbols are ticks.,"[0, 0, 0]","[0, 0, 0]",2806,Some of the symbols are notes.,"[0, 1]"
1,,0,1,1015,undefined,3,response,"[6, 4, 2]",,1,,1,0,"[7, 0, 7]",,"[2, 5, 1]",There are four ticks.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,0 + 7 = ?,"[1, 0, 0]","[2, 0, 0]",2712,4 + 2 = ?,"[0, 1]"
0,,1,0,1089,undefined,1,response,"[4, 1, 0]",,0,,2,0,"[9, 6, 7]",,"[3, 2, 6]",There is a spade.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There is a triangle.,"[0, 0, 0]","[0, 0, 0]",2804,There is a heart.,"[1, 0]"
