pOSymbols,slide_number,audio,btwncondition,goodPOChoice,pTwrongAnswer,pTChoice,Answer.time_in_minutes,primeType,pOwrongAnswer,responseSymbols,workerid,pTSentence,goodPTChoice,Answer.condition,trial_type,pOSentence,correctPChoices,response,image,primeStrength,responseSentence,correctPOChoice,correctPTChoice,slide_type,response_rt,primeOShuffle,pTSymbols,primeTShuffle,responseChoice,pOChoice,block_rt
,1,,,,,,7.810616666666666,,,,0,,,undefined,,,,"[0, 'Barbara']",Barbara,,,,,bot_check,,,,,,,
"[1, 0, 1]",,,exh-only,1,"[3, 0, 0]",1,7.810616666666666,2,"[2, 0, 0]","[6, 8, 4]",0,9 + 7 = ?,1,undefined,response,0 + 1 = ?,False,,,3,There is a star.,False,True,,1944,"[0, 1]","[16, 9, 7]","[0, 1]",1,0,6864
"[1, 5, 2]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[8, 5, 2]",0,There is a tick.,1,undefined,response,There is a club.,True,,,0,There is a note.,True,True,,2575,"[1, 0]","[2, 4, 6]","[0, 1]",1,0,8776
"[6, 5, 1]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[7, 8, 6]",0,There is a club.,1,undefined,response,There is a star.,True,,,0,There is a circle.,True,True,,1887,"[0, 1]","[1, 0, 9]","[0, 1]",1,1,7184
"[17, 9, 8]",,,exh-only,1,"[6, 0, 0]",0,7.810616666666666,0,"[7, 0, 0]","[5, 1, 3]",0,8 + 6 = ?,1,undefined,response,9 + 8 = ?,False,,,3,Some of the symbols are squares.,True,False,,2631,"[0, 1]","[14, 8, 6]","[0, 1]",1,1,7576
"[8, 0, 8]",,,exh-only,1,"[6, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[1, 4, 2]",0,2 + 6 = ?,0,undefined,response,0 + 8 = ?,True,,,3,There is a club.,True,True,,2112,"[0, 1]","[8, 2, 6]","[1, 0]",1,1,6465
"[4, 0, 2]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[2, 4, 9]",0,Only some of the symbols are spades.,0,undefined,response,Only some of the symbols are hearts.,True,,,2,Some of the symbols are ticks.,True,True,,3439,"[0, 1]","[3, 5, 8]","[1, 0]",1,1,10040
"[5, 0, 8]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[8, 9, 4]",0,There are only four notes.,0,undefined,filler,There are only four squares.,True,,,2,There are four notes.,True,True,,1815,"[0, 1]","[8, 6, 2]","[1, 0]",1,1,6969
"[4, 3, 2]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[5, 0, 7]",0,There is a tick.,1,undefined,filler,There is a heart.,True,,,1,There is a square.,True,True,,2583,"[1, 0]","[2, 6, 3]","[0, 1]",1,0,9320
"[2, 3, 0]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[3, 8, 0]",0,Some of the symbols are squares.,0,undefined,response,Some of the symbols are ticks.,True,,,1,Some of the symbols are spades.,True,True,,2336,"[1, 0]","[5, 3, 1]","[1, 0]",1,0,7905
"[11, 3, 8]",,,exh-only,0,"[2, 0, 0]",0,7.810616666666666,1,"[2, 0, 0]","[9, 1, 8]",0,3 + 6 = ?,1,undefined,filler,3 + 8 = ?,False,,,3,There are four triangles.,False,False,,2031,"[1, 0]","[9, 3, 6]","[0, 1]",1,1,6768
"[2, 1, 8]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[3, 1, 7]",0,There are four notes.,0,undefined,response,There are four ticks.,True,,,1,There are four spades.,True,True,,2439,"[1, 0]","[8, 0, 2]","[1, 0]",1,0,7064
"[4, 0, 9]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[4, 8, 9]",0,There are only four clubs.,1,undefined,response,There are only four hearts.,True,,,2,There are four hearts.,True,True,,2952,"[1, 0]","[1, 0, 6]","[0, 1]",1,0,7225
"[3, 6, 2]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[9, 3, 1]",0,There is a square.,0,undefined,filler,There is a spade.,True,,,1,There is a triangle.,True,True,,2759,"[0, 1]","[5, 9, 0]","[1, 0]",1,1,7184
"[9, 8, 1]",,,exh-only,1,"[5, 0, 0]",0,7.810616666666666,0,"[6, 0, 0]","[7, 4, 2]",0,8 + 3 = ?,0,undefined,response,8 + 1 = ?,True,,,3,Some of the symbols are circles.,True,True,,2303,"[0, 1]","[11, 8, 3]","[1, 0]",1,1,7096
"[7, 5, 8]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[7, 1, 3]",0,There are four squares.,0,undefined,response,There are four circles.,True,,,1,There are four circles.,True,True,,1896,"[1, 0]","[5, 3, 2]","[1, 0]",1,0,9009
"[4, 5, 2]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[4, 2, 5]",0,There is only a heart.,0,undefined,response,There is only a heart.,True,,,2,There is a heart.,True,True,,1664,"[1, 0]","[4, 1, 8]","[1, 0]",1,0,8568
"[1, 5, 9]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[7, 0, 6]",0,Some of the symbols are stars.,0,undefined,response,Some of the symbols are clubs.,True,,,1,Some of the symbols are circles.,True,True,,1119,"[1, 0]","[6, 4, 0]","[1, 0]",1,0,6256
"[8, 6, 7]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[9, 3, 0]",0,There are only four diamonds.,1,undefined,response,There are only four notes.,True,,,2,There are four triangles.,True,True,,1288,"[1, 0]","[0, 9, 3]","[0, 1]",1,0,4009
"[7, 5, 9]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[6, 1, 9]",0,There is a note.,0,undefined,filler,There is a circle.,True,,,1,There is a star.,True,True,,1208,"[0, 1]","[8, 6, 3]","[1, 0]",1,1,3784
"[16, 9, 7]",,,exh-only,0,"[9, 0, 0]",1,7.810616666666666,1,"[3, 0, 0]","[3, 5, 2]",0,1 + 7 = ?,1,undefined,response,9 + 7 = ?,True,,,3,There are four spades.,True,True,,2119,"[1, 0]","[8, 1, 7]","[0, 1]",1,0,4840
