image,primeOShuffle,btwncondition,audio,goodPTChoice,pOwrongAnswer,responseChoice,correctPTChoice,primeTShuffle,pTChoice,correctPChoices,Answer.condition,response_rt,pOChoice,Answer.time_in_minutes,pTSymbols,goodPOChoice,pOSentence,responseSentence,primeStrength,pTwrongAnswer,slide_number,correctPOChoice,trial_type,slide_type,response,primeType,pOSymbols,workerid,responseSymbols,block_rt,pTSentence
Margaret,,,,,,,,,,,undefined,,,5.9799,,,,,,,1,,,bot_check,"[0, 'Margaret']",,,0,,,
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,1040,0,5.9799,"[8, 4, 5]",0,There is a circle.,There is a heart.,0,"[0, 0, 0]",,True,filler,,,2,"[7, 6, 1]",0,"[4, 7, 6]",3893,There is a note.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1055,0,5.9799,"[1, 3, 5]",0,There are four ticks.,There are four triangles.,1,"[0, 0, 0]",,True,filler,,,1,"[2, 4, 1]",0,"[9, 4, 2]",3000,There are four clubs.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,996,0,5.9799,"[4, 1, 7]",0,Some of the symbols are spades.,Some of the symbols are triangles.,1,"[0, 0, 0]",,True,response,,,0,"[3, 1, 2]",0,"[9, 5, 2]",3280,Some of the symbols are hearts.
,"[1, 0]",exh-only,,0,"[4, 0, 0]",1,False,"[1, 0]",1,False,undefined,1053,0,5.9799,"[12, 4, 8]",0,1 + 7 = ?,There are four stars.,3,"[2, 0, 0]",,True,filler,,,1,"[8, 1, 7]",0,"[6, 2, 8]",3264,4 + 8 = ?
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,788,1,5.9799,"[4, 5, 6]",1,There is a triangle.,There is a square.,0,"[0, 0, 0]",,True,response,,,2,"[9, 0, 4]",0,"[5, 1, 6]",2920,There is a heart.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,False,undefined,888,1,5.9799,"[5, 1, 0]",0,There are four spades.,There are four notes.,0,"[0, 0, 0]",,False,response,,,1,"[3, 2, 0]",0,"[8, 9, 7]",2869,There are four squares.
,"[1, 0]",exh-only,,1,"[2, 0, 0]",1,True,"[0, 1]",1,True,undefined,1008,0,5.9799,"[11, 3, 8]",0,8 + 7 = ?,There are four ticks.,3,"[3, 0, 0]",,True,filler,,,1,"[15, 8, 7]",0,"[2, 1, 8]",3291,3 + 8 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,1546,1,5.9799,"[8, 5, 3]",1,There is a square.,There is a heart.,0,"[0, 0, 0]",,True,filler,,,2,"[5, 7, 9]",0,"[4, 7, 2]",3653,There is a note.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,1077,1,5.9799,"[6, 8, 3]",1,Some of the symbols are squares.,Some of the symbols are clubs.,1,"[0, 0, 0]",,True,filler,,,0,"[5, 0, 4]",0,"[1, 7, 6]",3984,Some of the symbols are stars.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,968,0,5.9799,"[1, 9, 3]",0,There are four circles.,There are four hearts.,1,"[0, 0, 0]",,True,filler,,,1,"[7, 8, 2]",0,"[4, 5, 7]",2595,There are four clubs.
,"[0, 1]",exh-only,,1,"[9, 0, 0]",1,False,"[0, 1]",0,False,undefined,982,1,5.9799,"[4, 0, 4]",1,3 + 4 = ?,Some of the symbols are circles.,3,"[3, 0, 0]",,True,filler,,,0,"[7, 3, 4]",0,"[7, 2, 1]",3906,0 + 4 = ?
,"[1, 0]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,819,0,5.9799,"[9, 7, 4]",0,There is a club.,There is a note.,1,"[0, 0, 0]",,True,response,,,2,"[1, 2, 4]",0,"[8, 0, 9]",3215,There is a triangle.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,828,1,5.9799,"[7, 9, 0]",1,Some of the symbols are clubs.,Some of the symbols are triangles.,1,"[0, 0, 0]",,True,response,,,0,"[1, 0, 4]",0,"[9, 4, 6]",3260,Some of the symbols are circles.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,962,0,5.9799,"[1, 2, 0]",0,There is a club.,There is a circle.,1,"[0, 0, 0]",,True,filler,,,2,"[1, 4, 7]",0,"[7, 5, 2]",2880,There is a club.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1061,0,5.9799,"[1, 6, 9]",0,There is only a tick.,There is a diamond.,2,"[0, 0, 0]",,True,filler,,,2,"[2, 4, 6]",0,"[0, 8, 5]",3154,There is only a club.
,"[0, 1]",exh-only,,0,"[7, 0, 0]",1,False,"[1, 0]",1,False,undefined,1493,0,5.9799,"[12, 5, 7]",1,9 + 3 = ?,There is a club.,3,"[0, 0, 0]",,False,filler,,,2,"[12, 9, 3]",0,"[1, 4, 9]",4289,5 + 7 = ?
,"[1, 0]",exh-only,,1,"[8, 0, 0]",0,True,"[0, 1]",1,True,undefined,1343,0,5.9799,"[10, 4, 6]",0,9 + 1 = ?,There is a square.,3,"[6, 0, 0]",,True,response,,,2,"[10, 9, 1]",0,"[5, 7, 9]",3702,4 + 6 = ?
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,866,0,5.9799,"[7, 2, 0]",0,There are only four hearts.,There are four ticks.,2,"[0, 0, 0]",,True,response,,,1,"[4, 2, 8]",0,"[2, 4, 7]",2692,There are only four circles.
,"[0, 1]",exh-only,,0,"[6, 0, 0]",1,False,"[1, 0]",1,False,undefined,925,0,5.9799,"[8, 3, 5]",1,3 + 9 = ?,There is a square.,3,"[0, 0, 0]",,False,filler,,,2,"[12, 3, 9]",0,"[5, 8, 3]",3152,3 + 5 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,1408,1,5.9799,"[0, 8, 1]",1,Only some of the symbols are notes.,Some of the symbols are diamonds.,2,"[0, 0, 0]",,True,response,,,0,"[8, 0, 6]",0,"[0, 8, 6]",3743,Only some of the symbols are diamonds.
,"[0, 1]",exh-only,,1,"[9, 0, 0]",1,True,"[0, 1]",1,False,undefined,1394,0,5.9799,"[3, 1, 2]",1,9 + 9 = ?,Some of the symbols are diamonds.,3,"[6, 0, 0]",,False,filler,,,0,"[18, 9, 9]",0,"[0, 5, 2]",4259,1 + 2 = ?
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1220,1,5.9799,"[7, 1, 3]",1,There is only a spade.,There is a note.,2,"[0, 0, 0]",,True,filler,,,2,"[3, 1, 2]",0,"[8, 0, 7]",3075,There is only a circle.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,966,0,5.9799,"[2, 0, 5]",0,There is a star.,There is a club.,0,"[0, 0, 0]",,True,response,,,2,"[6, 8, 4]",0,"[1, 2, 5]",3007,There is a tick.
