block_rt,workerid,pOSentence,pTwrongAnswer,primeType,primeTShuffle,Answer.condition,slide_type,pTChoice,correctPOChoice,btwncondition,correctPTChoice,trial_type,Answer.time_in_minutes,pTSentence,pOSymbols,audio,pOChoice,slide_number,correctPChoices,responseSymbols,response_rt,goodPOChoice,response,primeOShuffle,image,responseSentence,primeStrength,goodPTChoice,pOwrongAnswer,pTSymbols,responseChoice
,0,,,,,undefined,bot_check,,,,,,14.6255,,,,,1,,,,,"[0, 'Susan']",,Susan,,,,,,
6643,0,There are four circles.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There are four triangles.,"[7, 2, 8]",,0,,True,"[8, 3, 2]",2095,0,,"[1, 0]",,There are four notes.,1,1,"[0, 0, 0]","[9, 7, 4]",1
9545,0,Some of the symbols are notes.,"[0, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,Some of the symbols are stars.,"[8, 5, 2]",,1,,True,"[1, 7, 0]",2152,1,,"[0, 1]",,Some of the symbols are clubs.,1,1,"[0, 0, 0]","[6, 1, 8]",1
6496,0,There is a note.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There is a triangle.,"[8, 5, 1]",,1,,True,"[9, 0, 7]",2734,1,,"[0, 1]",,There is a triangle.,1,0,"[0, 0, 0]","[9, 2, 0]",1
10297,0,There are four but no more than four notes.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There are four but no more than four clubs.,"[8, 6, 4]",,0,,True,"[8, 3, 5]",1630,0,,"[1, 0]",,There are four notes.,2,1,"[0, 0, 0]","[1, 4, 5]",1
8072,0,5 + 0 = ?,"[7, 0, 0]",2,"[0, 1]",undefined,,0,False,exh-subclausal,False,filler,14.6255,3 + 8 = ?,"[5, 5, 0]",,1,,False,"[9, 6, 5]",1822,0,,"[1, 0]",,There is a triangle.,3,1,"[8, 0, 0]","[11, 3, 8]",1
7521,0,There are four notes.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There are four hearts.,"[8, 7, 6]",,0,,True,"[7, 5, 0]",1815,0,,"[1, 0]",,There are four circles.,0,1,"[0, 0, 0]","[4, 6, 9]",1
23620,0,Some of the symbols are stars.,"[0, 0, 0]",0,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,Some of the symbols are ticks.,"[6, 2, 0]",,1,,True,"[7, 6, 0]",2415,1,,"[0, 1]",,Some of the symbols are circles.,0,0,"[0, 0, 0]","[2, 0, 8]",0
8289,0,There is a diamond but nothing else.,"[0, 0, 0]",2,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There is a club but nothing else.,"[0, 3, 8]",,0,,True,"[4, 5, 8]",2688,0,,"[1, 0]",,There is a heart.,2,1,"[0, 0, 0]","[1, 5, 9]",1
14224,0,There is a star.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There is a tick.,"[6, 5, 4]",,1,,True,"[9, 4, 7]",2238,1,,"[0, 1]",,There is a triangle.,1,0,"[0, 0, 0]","[2, 1, 9]",1
6473,0,There is a tick.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There is a tick.,"[2, 5, 4]",,0,,True,"[1, 8, 4]",2127,0,,"[1, 0]",,There is a club.,1,0,"[0, 0, 0]","[2, 0, 5]",1
7656,0,There are four circles.,"[0, 0, 0]",1,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There are four spades.,"[7, 0, 8]",,0,,True,"[8, 7, 3]",2223,0,,"[1, 0]",,There are four notes.,0,0,"[0, 0, 0]","[3, 0, 6]",1
6377,0,7 + 0 = ?,"[9, 0, 0]",1,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,2 + 9 = ?,"[7, 7, 0]",,1,,True,"[8, 2, 1]",2584,1,,"[0, 1]",,There are four notes.,3,0,"[2, 0, 0]","[11, 2, 9]",1
5720,0,There are four but no more than four clubs.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There are four but no more than four circles.,"[1, 7, 3]",,1,,True,"[8, 0, 2]",1223,1,,"[0, 1]",,There are four notes.,2,1,"[0, 0, 0]","[7, 1, 8]",1
3920,0,There are four clubs.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There are four hearts.,"[1, 2, 6]",,0,,True,"[9, 8, 2]",1135,0,,"[1, 0]",,There are four triangles.,1,1,"[0, 0, 0]","[4, 1, 2]",1
4749,0,There is a spade.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There is a diamond.,"[3, 9, 1]",,1,,True,"[8, 5, 7]",1239,1,,"[0, 1]",,There is a note.,1,0,"[0, 0, 0]","[0, 9, 2]",1
21938,0,There is a tick.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There is a square.,"[2, 5, 7]",,1,,True,"[8, 2, 1]",10224,1,,"[0, 1]",,There is a note.,0,0,"[0, 0, 0]","[5, 0, 8]",1
