Answer.time_in_minutes,image,workerid,primeType,pTChoice,response_rt,goodPTChoice,goodPOChoice,pTwrongAnswer,responseSymbols,audio,correctPTChoice,response,responseSentence,block_rt,pOSymbols,responseChoice,trial_type,primeOShuffle,correctPChoices,btwncondition,pOChoice,pTSentence,slide_number,pTSymbols,slide_type,correctPOChoice,pOSentence,primeStrength,pOwrongAnswer,primeTShuffle,Answer.condition
3.4577,Margaret,0,,,,,,,,,,"[0, 'Margaret']",,,,,,,,,,,1,,bot_check,,,,,,undefined
3.4577,,0,1,1,1877,1,1,"[0, 0, 0]","[7, 6, 1]",,True,,There are four circles.,6688,"[1, 3, 4]",1,filler,"[0, 1]",False,exh-clausal,0,"There are four clubs, but there are no more than four clubs.",,"[1, 6, 0]",,False,"There are four clubs, but there are no more than four clubs.",2,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,0,4797,0,1,"[3, 0, 0]","[7, 4, 8]",,True,,There is a circle.,10408,"[15, 6, 9]",1,filler,"[0, 1]",True,exh-clausal,1,2 + 3 = ?,,"[5, 2, 3]",,True,6 + 9 = ?,3,"[1, 0, 0]","[1, 0]",undefined
3.4577,,0,1,0,1320,1,0,"[0, 0, 0]","[0, 8, 7]",,False,,There are four diamonds.,5297,"[8, 1, 0]",0,response,"[1, 0]",False,exh-clausal,0,There are four stars.,,"[6, 2, 3]",,True,There are four notes.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,0,3828,0,1,"[2, 0, 0]","[5, 7, 6]",,True,,Some of the symbols are squares.,9334,"[6, 4, 2]",0,filler,"[0, 1]",False,exh-clausal,0,8 + 1 = ?,,"[9, 8, 1]",,False,4 + 2 = ?,3,"[6, 0, 0]","[1, 0]",undefined
3.4577,,0,0,0,2045,0,1,"[0, 0, 0]","[1, 4, 6]",,True,,Some of the symbols are clubs.,6377,"[0, 9, 2]",0,response,"[0, 1]",False,exh-clausal,0,Some of the symbols are circles.,,"[7, 0, 6]",,False,Some of the symbols are diamonds.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,1,2644,1,0,"[0, 0, 0]","[5, 0, 6]",,True,,There is a square.,14487,"[3, 9, 2]",0,response,"[1, 0]",True,exh-clausal,0,There is a triangle.,,"[9, 8, 4]",,True,There is a spade.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,0,216,0,0,"[0, 0, 0]","[5, 1, 6]",,True,,There is a square.,843,"[6, 9, 3]",0,filler,"[1, 0]",True,exh-clausal,0,There is a triangle.,,"[9, 2, 5]",,True,There is a star.,0,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,0,224,1,1,"[0, 0, 0]","[6, 4, 1]",,False,,There is a star.,716,"[7, 0, 5]",0,response,"[0, 1]",False,exh-clausal,0,There is a tick.,,"[2, 8, 9]",,False,There is a circle.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,0,261,0,0,"[0, 0, 0]","[5, 3, 9]",,True,,Some of the symbols are squares.,1722,"[0, 5, 4]",0,response,"[1, 0]",True,exh-clausal,0,"Some of the symbols are hearts, but not all of them are hearts.",,"[4, 0, 2]",,True,"Some of the symbols are diamonds, but not all of them are diamonds.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,0,0,245,0,0,"[0, 0, 0]","[8, 9, 5]",,True,,Some of the symbols are notes.,738,"[2, 5, 6]",0,response,"[1, 0]",True,exh-clausal,0,"Some of the symbols are spades, but not all of them are spades.",,"[3, 0, 9]",,True,"Some of the symbols are ticks, but not all of them are ticks.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,0,246,0,1,"[0, 0, 0]","[8, 4, 3]",,True,,There is a note.,721,"[7, 5, 9]",0,response,"[0, 1]",False,exh-clausal,0,"There is a triangle, but there is nothing besides a triangle.",,"[9, 3, 0]",,False,"There is a circle, but there is nothing besides a circle.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,0,0,244,1,0,"[0, 0, 0]","[5, 3, 7]",,False,,Some of the symbols are squares.,760,"[2, 5, 4]",0,filler,"[1, 0]",False,exh-clausal,0,"Some of the symbols are ticks, but not all of them are ticks.",,"[2, 3, 0]",,True,"Some of the symbols are ticks, but not all of them are ticks.",2,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,0,239,1,1,"[0, 0, 0]","[7, 0, 1]",,False,,There is a circle.,707,"[8, 1, 2]",0,filler,"[0, 1]",False,exh-clausal,0,There is a star.,,"[6, 8, 7]",,False,There is a note.,1,"[0, 0, 0]","[0, 1]",undefined
