primeStrength,primeTShuffle,correctPTChoice,responseSentence,pTSentence,pOSymbols,goodPTChoice,Answer.time_in_minutes,correctPChoices,response_rt,pTwrongAnswer,pOChoice,audio,correctPOChoice,pOSentence,primeOShuffle,response,pTChoice,block_rt,slide_number,workerid,responseChoice,image,Answer.condition,pTSymbols,goodPOChoice,responseSymbols,pOwrongAnswer,primeType,trial_type,btwncondition,slide_type
,,,,,,,12.037066666666666,,,,,,,,,"[0, 'Margaret']",,,1,0,,Margaret,undefined,,,,,,,,bot_check
1,"[0, 1]",True,Some of the symbols are spades.,Some of the symbols are ticks.,"[4, 2, 0]",1,12.037066666666666,True,3999,"[0, 0, 0]",0,,True,Some of the symbols are hearts.,"[1, 0]",,1,11295,,0,1,,undefined,"[2, 3, 0]",0,"[3, 8, 6]","[0, 0, 0]",0,response,alternative,
2,"[0, 1]",True,Some of the symbols are stars.,All of the symbols are stars.,"[9, 0, 8]",1,12.037066666666666,True,3391,"[0, 0, 0]",0,,True,All of the symbols are triangles.,"[1, 0]",,1,7912,,0,1,,undefined,"[6, 3, 8]",0,"[6, 4, 3]","[0, 0, 0]",0,filler,alternative,
3,"[1, 0]",True,There is a circle.,8 + 8 = ?,"[17, 9, 8]",0,12.037066666666666,True,2255,"[2, 0, 0]",1,,True,9 + 8 = ?,"[0, 1]",,0,6472,,0,1,,undefined,"[16, 8, 8]",1,"[7, 4, 3]","[2, 0, 0]",2,filler,alternative,
0,"[1, 0]",True,There is a circle.,There is a club.,"[2, 9, 3]",0,12.037066666666666,True,1351,"[0, 0, 0]",1,,True,There is a tick.,"[0, 1]",,0,5704,,0,0,,undefined,"[1, 7, 8]",1,"[7, 1, 5]","[0, 0, 0]",2,response,alternative,
2,"[1, 0]",True,There are four triangles.,There are six stars.,"[7, 0, 6]",0,12.037066666666666,True,2207,"[0, 0, 0]",0,,True,There are six circles.,"[1, 0]",,0,5184,,0,1,,undefined,"[6, 2, 0]",0,"[9, 4, 7]","[0, 0, 0]",1,filler,alternative,
2,"[1, 0]",True,There are four clubs.,There are six hearts.,"[9, 7, 3]",0,12.037066666666666,True,2383,"[0, 0, 0]",1,,True,There are six triangles.,"[0, 1]",,0,6432,,0,1,,undefined,"[4, 7, 5]",1,"[1, 4, 6]","[0, 0, 0]",1,filler,alternative,
3,"[1, 0]",True,Some of the symbols are diamonds.,7 + 1 = ?,"[3, 2, 1]",0,12.037066666666666,True,2711,"[9, 0, 0]",1,,True,2 + 1 = ?,"[0, 1]",,0,5968,,0,1,,undefined,"[8, 7, 1]",1,"[0, 2, 8]","[2, 0, 0]",0,response,alternative,
1,"[0, 1]",True,Some of the symbols are notes.,Some of the symbols are notes.,"[0, 5, 9]",1,12.037066666666666,True,1743,"[0, 0, 0]",1,,True,Some of the symbols are diamonds.,"[0, 1]",,1,6104,,0,1,,undefined,"[8, 9, 3]",1,"[8, 2, 5]","[0, 0, 0]",0,response,alternative,
3,"[1, 0]",False,There are four ticks.,7 + 5 = ?,"[11, 5, 6]",0,12.037066666666666,False,2007,"[0, 0, 0]",0,,True,5 + 6 = ?,"[1, 0]",,1,5463,,0,1,,undefined,"[12, 7, 5]",0,"[2, 7, 6]","[1, 0, 0]",1,response,alternative,
1,"[1, 0]",True,Some of the symbols are triangles.,Some of the symbols are diamonds.,"[4, 3, 7]",0,12.037066666666666,True,4951,"[0, 0, 0]",0,,True,Some of the symbols are hearts.,"[1, 0]",,0,10296,,0,1,,undefined,"[0, 6, 4]",0,"[9, 7, 0]","[0, 0, 0]",0,response,alternative,
3,"[0, 1]",False,There is a diamond.,3 + 2 = ?,"[12, 9, 3]",1,12.037066666666666,False,1679,"[1, 0, 0]",1,,True,9 + 3 = ?,"[0, 1]",,0,4896,,0,0,,undefined,"[5, 3, 2]",1,"[0, 9, 5]","[5, 0, 0]",2,filler,alternative,
1,"[1, 0]",True,There is a triangle.,There is a spade.,"[9, 4, 1]",0,12.037066666666666,True,1687,"[0, 0, 0]",1,,True,There is a triangle.,"[0, 1]",,0,6448,,0,1,,undefined,"[3, 1, 8]",1,"[9, 2, 5]","[0, 0, 0]",2,filler,alternative,
1,"[0, 1]",True,There is a note.,There is a star.,"[3, 0, 1]",1,12.037066666666666,True,2479,"[0, 0, 0]",0,,True,There is a spade.,"[1, 0]",,1,7168,,0,0,,undefined,"[6, 8, 2]",0,"[8, 3, 2]","[0, 0, 0]",2,response,alternative,
0,"[1, 0]",True,Some of the symbols are clubs.,Some of the symbols are clubs.,"[1, 0, 9]",0,12.037066666666666,True,3591,"[0, 0, 0]",1,,True,Some of the symbols are clubs.,"[0, 1]",,0,13752,,0,1,,undefined,"[1, 5, 2]",1,"[1, 4, 7]","[0, 0, 0]",0,response,alternative,
2,"[0, 1]",True,There are four ticks.,There are six triangles.,"[6, 1, 3]",1,12.037066666666666,True,2023,"[0, 0, 0]",0,,True,There are six stars.,"[1, 0]",,1,4664,,0,1,,undefined,"[9, 1, 0]",0,"[2, 5, 3]","[0, 0, 0]",1,filler,alternative,
2,"[0, 1]",True,There is a heart.,There is a triangle and a note.,"[2, 8, 7]",1,12.037066666666666,True,2343,"[0, 0, 0]",1,,True,There is a tick and a note.,"[0, 1]",,1,5424,,0,1,,undefined,"[9, 8, 1]",1,"[4, 9, 2]","[0, 0, 0]",2,response,alternative,
2,"[0, 1]",True,Some of the symbols are notes.,All of the symbols are squares.,"[8, 4, 2]",1,12.037066666666666,True,3607,"[0, 0, 0]",1,,True,All of the symbols are notes.,"[0, 1]",,1,10440,,0,1,,undefined,"[5, 1, 9]",1,"[8, 2, 1]","[0, 0, 0]",0,response,alternative,
1,"[1, 0]",True,There are four stars.,There are four circles.,"[0, 8, 5]",0,12.037066666666666,True,1895,"[0, 0, 0]",0,,True,There are four diamonds.,"[1, 0]",,0,14632,,0,1,,undefined,"[7, 4, 5]",0,"[6, 7, 8]","[0, 0, 0]",1,filler,alternative,
3,"[1, 0]",False,There is a star.,1 + 9 = ?,"[15, 7, 8]",0,12.037066666666666,False,3623,"[9, 0, 0]",0,,False,7 + 8 = ?,"[0, 1]",,1,8176,,0,1,,undefined,"[10, 1, 9]",1,"[6, 8, 5]","[0, 0, 0]",2,response,alternative,
1,"[1, 0]",True,There is a heart.,There is a club.,"[2, 9, 7]",0,12.037066666666666,True,1895,"[0, 0, 0]",1,,True,There is a tick.,"[0, 1]",,0,5008,,0,1,,undefined,"[1, 6, 5]",1,"[4, 9, 5]","[0, 0, 0]",2,filler,alternative,
2,"[0, 1]",True,Some of the symbols are ticks.,All of the symbols are notes.,"[2, 5, 0]",1,12.037066666666666,True,3607,"[0, 0, 0]",1,,True,All of the symbols are ticks.,"[0, 1]",,1,11480,,0,1,,undefined,"[8, 6, 9]",1,"[2, 5, 3]","[0, 0, 0]",0,response,alternative,
1,"[1, 0]",True,Some of the symbols are hearts.,Some of the symbols are notes.,"[0, 2, 5]",0,12.037066666666666,True,2271,"[0, 0, 0]",0,,True,Some of the symbols are diamonds.,"[1, 0]",,0,8000,,0,1,,undefined,"[8, 7, 6]",0,"[4, 1, 0]","[0, 0, 0]",0,response,alternative,
1,"[0, 1]",True,There is a note.,There is a square.,"[6, 2, 4]",1,12.037066666666666,True,1559,"[0, 0, 0]",0,,True,There is a star.,"[1, 0]",,1,4456,,0,1,,undefined,"[5, 8, 6]",0,"[8, 0, 5]","[0, 0, 0]",2,response,alternative,
0,"[0, 1]",True,There is a square.,There is a triangle.,"[1, 2, 0]",1,12.037066666666666,True,1463,"[0, 0, 0]",1,,True,There is a club.,"[0, 1]",,1,6432,,0,0,,undefined,"[9, 1, 2]",1,"[5, 2, 4]","[0, 0, 0]",2,response,alternative,
